titleId,title,types,averageRating,numVotes,isAdult,startYear,runtimeMinutes,liked,genre1,genre2,genre 3
tt1512888,Aayirathil Oruvan,imdbDisplay,7.8,3595,0,2010,183,1,0,1,99
tt0324977,Allaudinum Arputha Vilakkum,alternative,6.6,160,0,1979,144,1,1,2,3
tt1841504,Ambuli 3D,\N,5.4,216,0,2012,139,1,0,2,4
tt1365436,Ananda Thandavam,\N,4.5,148,0,2009,150,1,5,99,99
tt0376127,Anniyan,imdbDisplay,8.2,14309,0,2005,181,1,0,2,8
tt2631186,Baahubali: The Beginning,imdbDisplay,8,102224,0,2015,159,1,0,2,99
tt4849438,Baahubali: The Conclusion,working,8.2,74576,0,2017,167,1,0,2,99
tt0088763,Back to the Future,imdbDisplay,8.5,1050649,0,1985,116,1,1,6,4
tt0103776,Batman Returns,imdbDisplay,7,273400,0,1992,126,1,0,7,3
tt7892050,Chekka Chivantha Vaanam,imdbDisplay,7.3,5354,0,2018,146,1,0,7,2
tt0479651,Dasavathaaram,\N,7.2,8576,0,2008,188,1,0,1,4
tt7060460,Dheeran Athigaram Ondru,imdbDisplay,8.2,9916,0,2017,157,1,0,7,8
tt1305797,Endhiran,working,7.1,24842,0,2010,155,1,0,4,99
tt6299040,Ghazi,alternative,7.6,11830,0,2017,116,1,0,8,9
tt0241527,Harry Potter and the Philosopher's Stone,imdbDisplay,7.6,649957,0,2001,152,1,1,10,3
tt0099785,Home Alone,imdbDisplay,7.6,480838,0,1990,103,1,6,10,99
tt0286716,Hulk,imdbDisplay,5.6,250936,0,2003,138,1,0,4,99
tt0888503,Imsai Arasan 23am Pulikesi,\N,7.7,1042,0,2006,142,1,6,99,99
tt0116630,Indian,imdbDisplay,8.1,10580,0,1996,185,1,0,2,8
tt7286456,Joker,imdbDisplay,8.5,919937,0,2019,122,1,7,2,8
tt0213753,Kaathalar Thinam,\N,6.3,574,0,1999,147,1,2,11,5
tt7010156,Maragatha Naanayam,\N,7,1215,0,2017,150,1,1,6,3
tt2258337,Naan Ee,imdbDisplay,7.7,21271,0,2012,145,1,0,6,3
tt4271820,O Kadhal Kanmani,\N,7.4,4853,0,2015,139,1,5,99,99
tt3185772,Onaayum Aattukkuttiyum,alternative,8.2,2321,0,2013,141,1,0,7,8
tt6734886,Pa Paandi,\N,7.5,1270,0,2017,125,1,0,2,10
tt0385928,Panchathantiram,imdbDisplay,8.1,3069,0,2002,150,1,6,2,99
tt3329246,Pizza 2: The Villa,working,6.4,552,0,2013,102,1,13,8,99
tt0246186,Raatshashan,\N,7.3,87,0,1986,113,1,0,2,99
tt1613110,Raja Rani,working,5.5,308,0,2009,150,1,6,5,99
tt0093870,RoboCop,imdbDisplay,7.5,231901,0,1987,102,1,0,7,4
tt0963915,Rocket Raja,\N,5.2,1520,0,2006,103,1,0,6,99
tt1496872,S.M.S,\N,7,1260,0,2009,138,1,6,2,5
tt4901338,Sakalakalavallavan Appatakkar,alternative,3.1,337,0,2015,150,1,0,6,99
tt0145487,Spider-Man,imdbDisplay,7.3,684744,0,2002,121,1,0,1,4
tt0370032,Supergirl4,imdbDisplay,4.5,79263,0,2006,88,1,0,4,99
tt0078346,Superman,imdbDisplay,7.3,158543,0,1978,143,1,0,1,2
tt0081573,Superman II,imdbDisplay,6.8,97758,0,1980,127,1,0,1,4
tt2613012,Tamil Padam,\N,7.3,801,0,2010,160,1,6,99,99
tt3982482,Tamizhuku En Ondrai Azhuthavum,imdbDisplay,7,867,0,2015,141,1,6,4,8
tt0103064,Terminator 2: The Judgment Day,imdbDisplay,8.5,990619,0,1991,137,1,0,4,99
tt5124096,Thagamagan,imdbDisplay,6,1802,0,2015,122,1,0,2,5
tt0088247,The Terminator,imdbDisplay,8,797192,0,1984,107,1,0,4,99
tt3421036,Thirumanam Enum Nikkah,working,5.1,287,0,2014,133,1,5,99,99
tt5039054,Thozha,imdbDisplay,8,4200,0,2016,158,1,6,2,99
tt0120338,Titanic,imdbDisplay,7.8,1039807,0,1997,194,1,2,5,99
tt0114709,Toy Story,imdbDisplay,8.3,881709,0,1995,81,1,1,12,6
tt4445948,Urumeen,working,4.7,192,0,2015,140,1,0,3,8
tt1609168,V.T.V.,\N,8,4778,0,2010,157,1,2,5,99
tt1385824,Yavarum Nalam,\N,7.3,5876,0,2009,138,1,2,13,14
tt8268916,90ml,\N,3.3,473,0,2019,120,0,6,99,99
tt4322022,Eesan,imdbDisplay,6.6,89,0,2010,164,0,2,99,99
tt2065924,Engaeyum Eppothum,alternative,7.9,1737,0,2011,138,0,6,2,10
tt0308395,Idhu Namma Aalu,imdbDisplay,7.4,76,0,1988,166,0,6,99,99
tt6449478,Indiralohathil Na Azhagappan,working,7.3,10,0,2008,150,1,6,99,99
tt4762826,Inimey Ippadithan,\N,5.5,273,0,2015,134,1,6,5,99
tt4959326,Inji Iduppazhagi,alternative,5.4,595,0,2015,125,0,6,5,99
tt11497592,Irandam Kuththu,imdbDisplay,2.5,451,0,2020,119,0,2,99,99
tt7510220,Iruttu Araiyil Murattu Kuththu,imdbDisplay,4.2,747,0,2018,119,0,13,99,99
tt5310090,Irudhi Suttru,imdbDisplay,7.6,11294,0,2016,109,1,0,2,15
tt2562162,Ivan Veramathiri,working,6,294,0,2013,150,0,0,8,99
tt3973410,Kaaka Muttai,\N,8.4,5530,0,2014,91,0,6,2,99
tt1821478,Kaavalan,imdbDisplay,6.7,4478,0,2011,155,0,0,2,5
tt2262126,Kalakalappu @ Masala Cafe,alternative,6.8,1069,0,2012,135,0,6,99,99
tt7483318,Kalakalappu 2,imdbDisplay,5,592,0,2018,154,0,6,2,99
tt3039362,Manjapai,working,6.2,302,0,2014,130,0,0,6,2
tt5833252,Muthina Kathirikai,imdbDisplay,5.5,73,0,2016,131,0,6,2,99
tt6567406,Muthuraamalingam,\N,1.6,184,0,2017,137,0,0,2,99
tt7853282,Oru Kuppai Kathai,imdbDisplay,6.5,249,0,2018,135,0,2,99,99
tt2133300,Osthe,\N,3.5,605,0,2011,150,0,0,99,99
tt5556110,Pugal,\N,5.5,161,0,2016,126,0,0,99,99
tt6863784,Saamy Square,alternative,4.5,1177,0,2018,156,0,0,99,99
tt6723182,Shivalinga,working,4.7,395,0,2017,156,0,13,99,99
tt6723182,Shivalinga,working,4.7,395,0,2017,156,0,13,99,99
